"label","plate no.","exp_no","cell","treatment","day","day_lb","measurement","value"
"B1_Sample1.fcs",NA,1,"S3D21","CTRL",3,"d3","dbl_neg",76.3
"B1_Sample1.fcs",NA,1,"S3D21","CTRL",3,"d3","isl_pos",23.3
"B1_Sample1.fcs",NA,1,"S3D21","CTRL",3,"d3","islctnt_pos",0.15
"B1_Sample1.fcs",NA,1,"S3D21","CTRL",3,"d3","ctnt_pos",0.22
"B1_Sample1.fcs",NA,1,"S3D21","CTRL",3,"d3","tot_isl",23.45
"B1_Sample1.fcs",NA,1,"S3D21","CTRL",3,"d3","tot_ctnt",0.37
"B10_Sample2.fcs",NA,1,"S3D21","RA",6,"d6","dbl_neg",72.4
"B10_Sample2.fcs",NA,1,"S3D21","RA",6,"d6","isl_pos",23.8
"B10_Sample2.fcs",NA,1,"S3D21","RA",6,"d6","islctnt_pos",2.28
"B10_Sample2.fcs",NA,1,"S3D21","RA",6,"d6","ctnt_pos",1.58
"B10_Sample2.fcs",NA,1,"S3D21","RA",6,"d6","tot_isl",26.08
"B10_Sample2.fcs",NA,1,"S3D21","RA",6,"d6","tot_ctnt",3.86
"B11_Sample3.fcs",NA,1,"S3D21","RA",8,"d8","dbl_neg",63.3
"B11_Sample3.fcs",NA,1,"S3D21","RA",8,"d8","isl_pos",6.82
"B11_Sample3.fcs",NA,1,"S3D21","RA",8,"d8","islctnt_pos",12.3
"B11_Sample3.fcs",NA,1,"S3D21","RA",8,"d8","ctnt_pos",17.6
"B11_Sample3.fcs",NA,1,"S3D21","RA",8,"d8","tot_isl",19.12
"B11_Sample3.fcs",NA,1,"S3D21","RA",8,"d8","tot_ctnt",29.9
"B12_Sample4.fcs",NA,1,"S3D21","RA",10,"d10","dbl_neg",51.4
"B12_Sample4.fcs",NA,1,"S3D21","RA",10,"d10","isl_pos",2.77
"B12_Sample4.fcs",NA,1,"S3D21","RA",10,"d10","islctnt_pos",6.59
"B12_Sample4.fcs",NA,1,"S3D21","RA",10,"d10","ctnt_pos",39.3
"B12_Sample4.fcs",NA,1,"S3D21","RA",10,"d10","tot_isl",9.36
"B12_Sample4.fcs",NA,1,"S3D21","RA",10,"d10","tot_ctnt",45.89
"B2_Sample2.fcs",NA,1,"S3D21","CTRL",4,"d4","dbl_neg",15.9
"B2_Sample2.fcs",NA,1,"S3D21","CTRL",4,"d4","isl_pos",83.8
"B2_Sample2.fcs",NA,1,"S3D21","CTRL",4,"d4","islctnt_pos",0.2
"B2_Sample2.fcs",NA,1,"S3D21","CTRL",4,"d4","ctnt_pos",0.12
"B2_Sample2.fcs",NA,1,"S3D21","CTRL",4,"d4","tot_isl",84
"B2_Sample2.fcs",NA,1,"S3D21","CTRL",4,"d4","tot_ctnt",0.32
"B3_Sample3.fcs",NA,1,"S3D21","CTRL",5,"d5","dbl_neg",14.6
"B3_Sample3.fcs",NA,1,"S3D21","CTRL",5,"d5","isl_pos",83.1
"B3_Sample3.fcs",NA,1,"S3D21","CTRL",5,"d5","islctnt_pos",1.97
"B3_Sample3.fcs",NA,1,"S3D21","CTRL",5,"d5","ctnt_pos",0.28
