"Day","Measurement","Treatment1","Treatment2","Cell1","Cell2","Comparison","Control_Shapiro_PValue","Treatment_Shapiro_PValue","Normality","Levene_PValue","Variance_equal"
3,"dbl_neg","CTRL","NA","S3D21","S3T21","CTRL--S3T21vsS3D21",0.674330801883286,0.281484541802914,"Normal",0.906644211885472,TRUE
3,"isl_pos","CTRL","NA","S3D21","S3T21","CTRL--S3T21vsS3D21",0.66890192749228,0.275439779977871,"Normal",0.903128360234019,TRUE
3,"islctnt_pos","CTRL","NA","S3D21","S3T21","CTRL--S3T21vsS3D21",0.636886845028965,0,"Not Normal",0.612706452436609,TRUE
3,"ctnt_pos","CTRL","NA","S3D21","S3T21","CTRL--S3T21vsS3D21",0.710725369286728,0.747030351034161,"Normal",0.889633090305631,TRUE
3,"tot_isl","CTRL","NA","S3D21","S3T21","CTRL--S3T21vsS3D21",0.671881244356766,0.28285048218186,"Normal",0.906819646698769,TRUE
3,"tot_ctnt","CTRL","NA","S3D21","S3T21","CTRL--S3T21vsS3D21",0.973107684980608,0.899850280037225,"Normal",0.55835600150369,TRUE
6,"dbl_neg","CTRL","RA","S3D21","NA","S3D21--RAvsCTRL",0.369637731901169,0.209032725691492,"Normal",0.5035699517844,TRUE
6,"dbl_neg","CTRL","RA","S3T21","NA","S3T21--RAvsCTRL",0.609699859303523,0.141109053689292,"Normal",0.259885827562208,TRUE
6,"dbl_neg","RA","NA","S3D21","S3T21","RA--S3T21vsS3D21",0.209032725691492,0.141109053689292,"Normal",0.499887958793661,TRUE
6,"dbl_neg","CTRL","NA","S3D21","S3T21","CTRL--S3T21vsS3D21",0.369637731901169,0.609699859303523,"Normal",0.769888479043315,TRUE
6,"isl_pos","CTRL","RA","S3D21","NA","S3D21--RAvsCTRL",0.207555292590702,0.193917521481448,"Normal",0.885512990669717,TRUE
6,"isl_pos","CTRL","RA","S3T21","NA","S3T21--RAvsCTRL",0.797091265700666,0.648062303197712,"Normal",0.357957609371687,TRUE
6,"isl_pos","RA","NA","S3D21","S3T21","RA--S3T21vsS3D21",0.193917521481448,0.648062303197712,"Normal",0.831511580073908,TRUE
