"","Day","Treatment","Paired_TTest_PValue","Kruskal_Wallis_PValue","Welch_TTest_PValue","Wilcoxon_PValue"
"1","-2","CTRL",NA,NA,NA,NA
"2","3","CTRL",0.0362464160683148,0.126630457947616,0.185257061365164,0.190430263825524
"3","4","CTRL",0.923889893330342,0.827259346562712,0.941152338152284,1
"4","4","RA",0.0493706498918529,0.0495346134356268,0.0481500307898986,0.0808555983700523
"5","5","CTRL",0.666609259737225,0.827259346562712,0.867061502968964,1
"6","6","CTRL",0.463434583411739,0.827259346562712,0.47791865786882,1
"7","6","RA",0.245168083144699,0.275233524074834,0.166144099094666,0.382733088885226
"8","7","CTRL",0.000702615645348743,0.0495346134356268,0.00131710493276559,0.0808555983700523
"9","8","CTRL",0.19177783648665,0.0495346134356268,0.147288610718499,0.0808555983700523
"10","8","RA",0.723340687762299,0.827259346562712,0.899302143892195,1
"11","9","CTRL",0.0250647092818151,0.0495346134356268,0.00491184703772026,0.0808555983700523
"12","10","CTRL",0.0464189638530206,0.0495346134356268,0.0411820151884485,0.0808555983700523
"13","10","RA",0.387552060643762,0.827259346562712,0.643873089602906,1
