"","Measurement","Day","Treatment","Paired_TTest_PValue","Welch_TTest_PValue","Kruskal_Wallis_PValue","Wilcoxon_PValue"
"1","dbl_neg",3,"CTRL",0.246279458126053,0.598267674237039,0.512690760261924,0.7
"2","dbl_neg",6,"CTRL",0.28411590382907,0.737691312663671,0.512690760261924,0.7
"3","dbl_neg",6,"RA",0.121705112669276,0.0690271376176979,0.0495346134356268,0.1
"4","dbl_neg",8,"CTRL",0.692034574158797,0.658944926351463,0.512690760261924,0.7
"5","dbl_neg",8,"RA",0.0549457936235108,0.0487946456864248,0.0495346134356268,0.1
"6","dbl_neg",10,"CTRL",0.342456502777061,0.532576980785485,0.275233524074834,0.4
"7","dbl_neg",10,"RA",0.020801992247006,0.0219037292856422,0.0495346134356268,0.1
"8","dbl_neg",4,"CTRL",0.645295998772369,0.62163893052396,0.512690760261924,0.7
"9","dbl_neg",4,"RA",0.419246914104873,0.323593878549995,0.275233524074834,0.4
"10","dbl_neg",5,"CTRL",1,1,0.827259346562712,1
"11","dbl_neg",7,"CTRL",0.596641621847566,0.614100882812664,0.512690760261924,0.7
"12","dbl_neg",9,"CTRL",0.180763689823898,0.438031567767208,0.275233524074834,0.4
"13","isl_pos",3,"CTRL",0.241724043541996,0.597100771700852,0.512690760261924,0.7
"14","isl_pos",6,"CTRL",0.1872781790014,0.385296623902592,0.275233524074834,0.4
"15","isl_pos",6,"RA",0.400282514925849,0.304332518741362,0.275233524074834,0.4
"16","isl_pos",8,"CTRL",0.376706736724948,0.306837735162414,0.512690760261924,0.7
"17","isl_pos",8,"RA",0.0761215017576524,0.0964498573364253,0.0495346134356268,0.1
"18","isl_pos",10,"CTRL",0.195009302814613,0.0563354760861785,0.0495346134356268,0.1
"19","isl_pos",10,"RA",0.23044298612703,0.299871101660241,0.126630457947616,0.2
"20","isl_pos",4,"CTRL",0.644501120561651,0.62007888505355,0.512690760261924,0.7
"21","isl_pos",4,"RA",0.423834084955402,0.328482047018703,0.275233524074834,0.4
"22","isl_pos",5,"CTRL",0.967245798742012,0.976879042276516,0.827259346562712,1
"23","isl_pos",7,"CTRL",0.170947464390016,0.044981759217978,0.0495346134356268,0.1
"24","isl_pos",9,"CTRL",0.42571623371186,0.570596784315768,0.512690760261924,0.7
"25","islctnt_pos",3,"CTRL",0.490725177875457,0.37488292175676,0.486674139509296,0.642834826490804
"26","islctnt_pos",6,"CTRL",0.597040936728759,0.67087586333502,0.827259346562712,1
"27","islctnt_pos",6,"RA",0.0113956290874391,0.00156717564123338,0.0495346134356268,0.1
"28","islctnt_pos",8,"CTRL",0.226963290939146,0.658777656636785,0.827259346562712,1
"29","islctnt_pos",8,"RA",0.349912689022705,0.572173190333604,0.512690760261924,0.7
"30","islctnt_pos",10,"CTRL",0.44973746096005,0.553108150025378,0.827259346562712,1
"31","islctnt_pos",10,"RA",0.171397044508209,0.502583962001277,0.512690760261924,0.7
"32","islctnt_pos",4,"CTRL",0.283201266303818,0.777803365353454,0.657905019428483,0.824778095082513
"33","islctnt_pos",4,"RA",0.273282635715491,0.588358878592355,0.657905019428483,0.824778095082513
"34","islctnt_pos",5,"CTRL",0.585110915648229,0.633571093890694,0.824778095082514,1
"35","islctnt_pos",7,"CTRL",0.197578304023797,0.254019839787473,0.275233524074834,0.4
"36","islctnt_pos",9,"CTRL",0.140968528671069,0.769519889986142,0.512690760261924,0.7
"37","ctnt_pos",3,"CTRL",0.994174120238474,0.996721712228801,1,1
"38","ctnt_pos",6,"CTRL",0.916140731875842,0.891849270056496,0.275233524074834,0.4
"39","ctnt_pos",6,"RA",0.251671306600946,0.219134759533741,0.126630457947616,0.2
"40","ctnt_pos",8,"CTRL",0.165679386605868,0.236693098596318,0.126630457947616,0.2
"41","ctnt_pos",8,"RA",0.0495063079502421,0.0178279681157023,0.0495346134356268,0.1
"42","ctnt_pos",10,"CTRL",0.304404288204903,0.305312940936025,0.506555169049041,0.657905019428482
"43","ctnt_pos",10,"RA",0.0416099562655237,0.0682324429809701,0.0495346134356268,0.1
"44","ctnt_pos",4,"CTRL",0.230937327462436,0.493247806211722,0.275233524074834,0.4
"45","ctnt_pos",4,"RA",0.597412610081922,0.69075225522985,0.827259346562712,1
"46","ctnt_pos",5,"CTRL",0.489707544709192,0.523440550424119,0.512690760261924,0.7
"47","ctnt_pos",7,"CTRL",0.930120607592887,0.933148125799925,0.827259346562712,1
"48","ctnt_pos",9,"CTRL",0.031795666516664,0.230712307135374,0.275233524074834,0.4
"49","tot_isl",3,"CTRL",0.24298589155478,0.595048519345285,0.512690760261924,0.7
"50","tot_isl",6,"CTRL",0.190981178247104,0.735554687215851,0.512690760261924,0.7
"51","tot_isl",6,"RA",0.165179439299693,0.0889004259993372,0.0495346134356268,0.1
"52","tot_isl",8,"CTRL",0.317055598157191,0.33930809436653,0.512690760261924,0.7
"53","tot_isl",8,"RA",0.0717622290644001,0.541795353602167,0.512690760261924,0.7
"54","tot_isl",10,"CTRL",0.292474260865054,0.273284174466515,0.275233524074834,0.4
"55","tot_isl",10,"RA",0.163664008148305,0.399413705699952,0.512690760261924,0.7
"56","tot_isl",4,"CTRL",0.644167237267143,0.619918893748753,0.512690760261924,0.7
"57","tot_isl",4,"RA",0.423191145039899,0.32720448987403,0.275233524074834,0.4
"58","tot_isl",5,"CTRL",0.996324174781159,0.997428506915264,0.827259346562712,1
"59","tot_isl",7,"CTRL",0.691498769636111,0.70602018727633,0.512690760261924,0.7
"60","tot_isl",9,"CTRL",0.937465792248896,0.978593633503467,0.827259346562712,1
"61","tot_ctnt",3,"CTRL",0.739312704331408,0.784043542436312,0.827259346562712,1
"62","tot_ctnt",6,"CTRL",0.657329024344187,0.705139638318447,0.827259346562712,1
"63","tot_ctnt",6,"RA",0.0382439135533618,0.0323039703026458,0.0495346134356268,0.1
"64","tot_ctnt",8,"CTRL",0.343693282380568,0.64156855929918,0.827259346562712,1
"65","tot_ctnt",8,"RA",0.0555870779414606,0.0431006999934435,0.0495346134356268,0.1
"66","tot_ctnt",10,"CTRL",0.503373974307328,0.9019985654848,0.512690760261924,0.7
"67","tot_ctnt",10,"RA",0.0358379178536992,0.0360233169833727,0.0495346134356268,0.1
"68","tot_ctnt",4,"CTRL",0.414529632206955,0.74628141794619,0.827259346562712,1
"69","tot_ctnt",4,"RA",0.226505670970672,0.422608692935889,0.512690760261924,0.7
"70","tot_ctnt",5,"CTRL",0.565347756405198,0.614590947146863,0.827259346562712,1
"71","tot_ctnt",7,"CTRL",0.225276718023544,0.22662620533009,0.126630457947616,0.2
"72","tot_ctnt",9,"CTRL",0.00403983760975937,0.438343239781859,0.275233524074834,0.4
