"cell","day","treatment","mean","sd","measurement"
"S3T21",3,"CTRL",89.6333333333333,8.17149517122377,"dbl_neg"
"S3D21",3,"CTRL",85.7,8.67582849069759,"dbl_neg"
"S3D21",4,"RA",79.4666666666667,11.2055045996748,"dbl_neg"
"S3T21",4,"RA",71.0666666666667,3.78725934328946,"dbl_neg"
"S3D21",6,"RA",65.8333333333333,9.61266525649018,"dbl_neg"
"S3D21",8,"RA",62.3,9.53939201416946,"dbl_neg"
"S3D21",10,"RA",58.2333333333333,7.71513663737288,"dbl_neg"
"S3D21",10,"CTRL",51.6666666666667,17.3529056164475,"dbl_neg"
"S3T21",4,"CTRL",50.8666666666667,15.7814236789123,"dbl_neg"
"S3T21",6,"RA",47.7,3.38673884437522,"dbl_neg"
"S3T21",10,"CTRL",43.9666666666667,6.66508314526783,"dbl_neg"
"S3T21",9,"CTRL",41.5,9.55196314900764,"dbl_neg"
"S3D21",6,"CTRL",40.1666666666667,22.3567290392252,"dbl_neg"
"S3D21",4,"CTRL",39.6666666666667,31.5791597946072,"dbl_neg"
"S3T21",8,"RA",39.4333333333333,1.85831464863552,"dbl_neg"
"S3D21",8,"CTRL",38.7333333333333,1.70391705588428,"dbl_neg"
"S3T21",10,"RA",36.6,6.6007575322837,"dbl_neg"
"S3T21",8,"CTRL",36.5,7.45385806143369,"dbl_neg"
"S3D21",9,"CTRL",35.9666666666667,4.89523577913601,"dbl_neg"
"S3T21",6,"CTRL",34.4333333333333,15.9315201199802,"dbl_neg"
"S3D21",7,"CTRL",33.7666666666667,3.3501243758006,"dbl_neg"
"S3T21",7,"CTRL",31.5333333333333,6.06162794415274,"dbl_neg"
"S3D21",5,"CTRL",29.7,17.1851680236185,"dbl_neg"
"S3T21",5,"CTRL",29.7,12.8502918254801,"dbl_neg"
"S3T21",5,"CTRL",69.6666666666667,12.5340868567811,"isl_pos"
"S3D21",5,"CTRL",69.3,16.2428445784598,"isl_pos"
"S3D21",4,"CTRL",60.1333333333333,31.5607879073596,"isl_pos"
"S3T21",6,"CTRL",50.5666666666667,15.7890257246397,"isl_pos"
"S3T21",4,"CTRL",48.9,15.6432093893804,"isl_pos"
"S3D21",6,"CTRL",40.2666666666667,7.37586153159977,"isl_pos"
"S3T21",7,"CTRL",37.7666666666667,3.69639463982586,"isl_pos"
"S3T21",6,"RA",37.3666666666667,6.45936013342911,"isl_pos"
"S3D21",6,"RA",29.8,8.87918915216924,"isl_pos"
"S3D21",7,"CTRL",28.9333333333333,3.81094913811944,"isl_pos"
"S3T21",4,"RA",28.7333333333333,3.78725934328946,"isl_pos"
"S3T21",8,"CTRL",22.5666666666667,1.19303534454489,"isl_pos"
