"","Measurement","Day","Cell","Compared_Treatment","Paired_TTest_PValue","Welch_TTest_PValue","Kruskal_Wallis_PValue","Wilcoxon_PValue"
"1","dbl_neg",6,"S3D21","RA vs CTRL",0.298611499447276,0.174769827841374,0.126630457947616,0.2
"2","dbl_neg",6,"S3T21","RA vs CTRL",0.228586554964241,0.284066591441485,0.512690760261924,0.7
"3","dbl_neg",8,"S3D21","RA vs CTRL",0.0509776431203077,0.0466462813541122,0.0495346134356268,0.1
"4","dbl_neg",8,"S3T21","RA vs CTRL",0.535113272324214,0.569731728136769,0.512690760261924,0.7
"5","dbl_neg",10,"S3D21","RA vs CTRL",0.627472757397328,0.594779959930008,0.512690760261924,0.7
"6","dbl_neg",10,"S3T21","RA vs CTRL",0.206937231674633,0.245378722695242,0.275233524074834,0.4
"7","dbl_neg",4,"S3D21","RA vs CTRL",0.0923282585221165,0.150021876456454,0.126630457947616,0.2
"8","dbl_neg",4,"S3T21","RA vs CTRL",0.16731056259818,0.150613993584249,0.126630457947616,0.2
"9","isl_pos",6,"S3D21","RA vs CTRL",0.378676898941304,0.193747503870037,0.126630457947616,0.2
"10","isl_pos",6,"S3T21","RA vs CTRL",0.339719321054492,0.283447892606169,0.275233524074834,0.4
"11","isl_pos",8,"S3D21","RA vs CTRL",0.265241758296417,0.162321551584974,0.126630457947616,0.2
"12","isl_pos",8,"S3T21","RA vs CTRL",0.00904590870632326,0.000855175847995435,0.0495346134356268,0.1
"13","isl_pos",10,"S3D21","RA vs CTRL",0.38221277902654,0.529106945256734,0.275233524074834,0.4
"14","isl_pos",10,"S3T21","RA vs CTRL",0.0263697147926939,0.0192596616798727,0.0495346134356268,0.1
"15","isl_pos",4,"S3D21","RA vs CTRL",0.0920271203205448,0.150302098849951,0.126630457947616,0.2
"16","isl_pos",4,"S3T21","RA vs CTRL",0.165409263559455,0.148742557007945,0.126630457947616,0.2
"17","islctnt_pos",6,"S3D21","RA vs CTRL",0.248648883645176,0.226716900097653,0.512690760261924,0.7
"18","islctnt_pos",6,"S3T21","RA vs CTRL",0.871654253675076,0.856267146056276,1,1
"19","islctnt_pos",8,"S3D21","RA vs CTRL",0.36791480385859,0.184316860168428,0.126630457947616,0.2
"20","islctnt_pos",8,"S3T21","RA vs CTRL",0.379904434783605,0.266674059717755,0.275233524074834,0.4
"21","islctnt_pos",10,"S3D21","RA vs CTRL",0.199419623290947,0.348622986599488,0.512690760261924,0.7
"22","islctnt_pos",10,"S3T21","RA vs CTRL",0.025493716429618,0.0609176369104338,0.0495346134356268,0.1
"23","islctnt_pos",4,"S3D21","RA vs CTRL",0.343747351764381,0.220610639521259,0.184038627196425,0.268285883677117
"24","islctnt_pos",4,"S3T21","RA vs CTRL",0.632724044199314,0.622292374842193,0.657905019428483,0.824778095082513
"25","ctnt_pos",6,"S3D21","RA vs CTRL",0.268842745953767,0.328461692801315,0.512690760261924,0.7
"26","ctnt_pos",6,"S3T21","RA vs CTRL",0.624380916098911,0.486993978094692,0.827259346562712,1
"27","ctnt_pos",8,"S3D21","RA vs CTRL",0.14277260140943,0.192495529224452,0.0495346134356268,0.1
"28","ctnt_pos",8,"S3T21","RA vs CTRL",0.0467183333516967,0.0226759776708581,0.0495346134356268,0.1
"29","ctnt_pos",10,"S3D21","RA vs CTRL",0.627804550421108,0.629025784418632,0.506555169049041,0.657905019428482
"30","ctnt_pos",10,"S3T21","RA vs CTRL",0.00522711959875708,0.00681017391658063,0.0495346134356268,0.1
"31","ctnt_pos",4,"S3D21","RA vs CTRL",0.945687455340643,0.97421823416803,1,1
"32","ctnt_pos",4,"S3T21","RA vs CTRL",0.474985267869997,0.545314786701634,0.827259346562712,1
"33","tot_isl",6,"S3D21","RA vs CTRL",0.301145520751474,0.169534267557757,0.126630457947616,0.2
"34","tot_isl",6,"S3T21","RA vs CTRL",0.224011702384047,0.259391342633077,0.275233524074834,0.4
"35","tot_isl",8,"S3D21","RA vs CTRL",0.0312937823153515,0.0261781657077548,0.0495346134356268,0.1
"36","tot_isl",8,"S3T21","RA vs CTRL",0.100097335351825,0.0299213423799142,0.0495346134356268,0.1
"37","tot_isl",10,"S3D21","RA vs CTRL",0.219825920236768,0.384680431755591,0.512690760261924,0.7
"38","tot_isl",10,"S3T21","RA vs CTRL",0.00657621582078884,0.00858085098116248,0.0495346134356268,0.1
"39","tot_isl",4,"S3D21","RA vs CTRL",0.0921954379723509,0.15006255696527,0.126630457947616,0.2
"40","tot_isl",4,"S3T21","RA vs CTRL",0.166178370495323,0.149484411608496,0.126630457947616,0.2
"41","tot_ctnt",6,"S3D21","RA vs CTRL",0.245632481844916,0.231542355963629,0.512690760261924,0.7
"42","tot_ctnt",6,"S3T21","RA vs CTRL",0.995079779447811,0.993753567053809,0.827259346562712,1
"43","tot_ctnt",8,"S3D21","RA vs CTRL",0.252386444496171,0.133484082210072,0.0495346134356268,0.1
"44","tot_ctnt",8,"S3T21","RA vs CTRL",0.0307414085177883,0.0301527756564457,0.0495346134356268,0.1
"45","tot_ctnt",10,"S3D21","RA vs CTRL",0.742249258446106,0.681876091141621,0.275233524074834,0.4
"46","tot_ctnt",10,"S3T21","RA vs CTRL",0.0604901165645441,0.0482617936682445,0.0495346134356268,0.1
"47","tot_ctnt",4,"S3D21","RA vs CTRL",0.451110879838014,0.481708396799146,0.657905019428483,0.824778095082513
"48","tot_ctnt",4,"S3T21","RA vs CTRL",0.538014327446914,0.557966603862188,0.512690760261924,0.7
